pcap_secs,ta,ra,seq,mcs,rate,retry,dbm_antsignal,dbm_antnoise,typestr
0.000000,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2103,7,270,0,,,28 QosData
0.000133,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2104,7,130,0,,,28 QosData
0.000239,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2105,7,130,0,,,28 QosData
0.000343,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2106,7,270,0,,,28 QosData
0.000447,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2107,7,130,0,,,28 QosData
0.000550,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2108,7,270,0,,,28 QosData
0.000652,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2109,7,130,0,,,28 QosData
0.000756,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2110,7,130,0,,,28 QosData
0.000858,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2111,7,270,0,,,28 QosData
0.000956,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2112,7,130,0,,,28 QosData
0.001057,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2113,7,270,0,,,28 QosData
0.001159,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2114,7,130,0,,,28 QosData
0.001262,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2115,7,130,0,,,28 QosData
0.001365,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2116,7,270,0,,,28 QosData
0.001467,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2117,7,130,0,,,28 QosData
0.001570,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2118,7,270,0,,,28 QosData
0.001676,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2119,7,130,0,,,28 QosData
0.001797,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2120,7,130,0,,,28 QosData
0.001906,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2121,7,270,0,,,28 QosData
0.002012,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2122,7,130,0,,,28 QosData
0.002117,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2123,7,270,0,,,28 QosData
0.002221,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2124,7,130,0,,,28 QosData
0.002325,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2125,7,130,0,,,28 QosData
0.002429,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2126,0,6.5,0,0,,28 QosData
0.002540,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2127,7,130,0,,,28 QosData
